cx	cy	capitalization	earnings	taxes	x	y	sector	name	alias	symbol
344.8	49.3	41.56	1697	505	344.2	5.3	Materials	"Bemis Company, Inc."		BMS
272.4	45.7	2595.64	96365	22584	271.5	-13.1	Financials	Berkshire Hathaway Inc.		BRK.A
435.5	-8.2	87.95	11764	4396	427.6	-5	Retailers	"Best Buy Co., Inc."		BBY
380.7	-42.8	458.75	8132	2623	371	0	Pharma	Biogen Idec Inc.		BIIB
342.9	66.7	426.98	13734	4044	338.5	14.8	Financials	"BlackRock, Inc."		BLK
168.4	-32.9	63.51	2664	424	177.3	2.8	Information technology	BMC Software Inc.		BMC
344.5	8.1	84.25	2467	691	327.2	6	Consumer products	BorgWarner Inc.		BWA
733.4	-11.5	105.46	-8436	886	749.9	0	Health care	Boston Scientific Corporation		BSX
150.5	22.4	669.15	28293	4460	181.3	-10	Pharma	Bristol-Myers Squibb Company		BMY
32.4	0.7	190.96	3223	96	34.9	0	Information technology	Broadcom Corp.		BRCM
361.4	-1.2	150.7	4131	1288	354.9	18.3	Consumer products	Brown-Forman Corporation		BF.B
409	-59.3	110.79	5693	1992	401.9	-2.5	Information technology	CA Technologies		CA
197.6	41.1	38.26	810	132	191.9	3.6	Consumer products	Cablevision Systems Corporation		CVC
47.6	17.1	144.1	1488	60	46.2	0	Energy	Cabot Oil & Gas Corporation		COG
292.5	67.7	154.76	4505	1149	293.6	0	Energy	Cameron International Corporation		CAM
342.2	17.9	141.97	6633	1967	340.3	14.8	Consumer products	Campbell Soup Company		CPB
352.3	34.4	319.96	19740	6041	351.2	-5.7	Financials	Capital One Financial Corp.		COF
359.3	-24.3	145.79	8109	2555	362.7	6.3	Health care	"Cardinal Health, Inc."		CAH
174	35.9	76.78	2237	348	179.1	0	Health care	CareFusion Corporation		CFN
441.8	16.6	96.7	2439	918	431.5	11.5	Retailers	CarMax Inc.		KMX
4.7	5.6	261.66	11794	74	7.4	0	Consumer products	Carnival Corporation		CCL
241.3	-26.5	551.48	28835	6032	239.3	-9.1	Industrials	Caterpillar Inc.		CAT
677.1	-8.4	80.3	757	863	686.3	-1	Financials	"CBRE Group, Inc."		CBG
748.5	-15.6	293.49	-4162	1724	751.6	-6.6	Consumer products	CBS Corporation		CBS
249.7	-13.4	488.76	3720	784	244.7	-16.4	Pharma	Celgene Corporation		CELG
39.6	-5.1	103.15	4495	160	40.6	8.3	Utilities	"CenterPoint Energy, Inc."		CNP
192.8	2.6	226.3	5724	1033	207.7	0	Telecom	"CenturyLink, Inc."		CTL
282.8	-27.7	160.88	2198	554	288	-3.6	Health care	Cerner Corporation		CERN
362.6	6.7	114.98	8790	2666	348.7	0	Materials	"CF Industries Holdings, Inc."		CF
390.5	-48.4	95.23	3966	1335	386.1	2.4	Industrials	CH Robinson Worldwide Inc.		CHRW
757.4	17.6	127.47	-1160	86	749.9	-1.3	Energy	Chesapeake Energy Corporation		CHK
461	35.7	2288.69	219880	85464	453.4	-11	Energy	Chevron Corporation		CVX
353	-4.4	104.44	1542	447	341.3	0.5	Consumer products	"Chipotle Mexican Grill, Inc."		CMG
306.8	-17.7	187.22	10069	2655	303.9	-4.3	Health care	Cigna Corp.		CI
289.7	84.4	78.04	3551	873	282.5	0	Insurance	Cincinnati Financial Corp.		CINF
431.9	-36.7	54.31	2633	959	421.5	-7.6	Industrials	Cintas Corporation		CTAS
232.6	-49.5	1096.79	54808	11582	244.6	17.5	Information technology	"Cisco Systems, Inc."		CSCO
750.1	2.8	1325.01	-23764	19716	750.6	-6	Financials	"Citigroup, Inc."		C
116.7	3.1	126.99	1816	190	120.9	3.6	Information technology	"Citrix Systems, Inc."		CTXS
393.2	4.8	29.98	3855	1291	385.1	0	Materials	Cliffs Natural Resources Inc.		CLF
492.7	21.5	200.98	9133	3915	493.2	-0.1	Financials	CME Group Inc.		CME
48.1	-21	75.35	2276	94	48.6	-4	Utilities	CMS Energy Corp.		CMS
379.3	8.6	140.39	7177	2338	374.6	17.4	Consumer products	"Coach, Inc."		COH
266.5	-3.9	101.55	4452	1026	267.4	-7.2	Consumer products	Coca-Cola Enterprises Inc.		CCE
229.9	-33.5	225.62	5002	1024	229.5	24.5	Information technology	Cognizant Technology Solutions Corporation		CTSH
350	-15.9	549.89	20199	6017	343.3	-13.7	Consumer products	Colgate-Palmolive Co.		CL
285.6	14.7	1083.63	39433	10034	281.5	-1.9	Consumer products	Comcast Corporation		CMCS.A
486	26.6	64.93	2699	1121	482.1	10.5	Financials	Comerica Incorporated		CMA
695.6	-21	73.18	131	1827	695.1	-0.1	Information technology	Computer Sciences Corporation		CSC
456.6	-20.4	144.21	5206	2074	458.7	2.8	Consumer products	"ConAgra Foods, Inc."		CAG
690.2	20.4	724.17	78775	58208	689	6.6	Energy	ConocoPhillips		COP
212.4	60.3	75.95	3696	714	219.6	-10.7	Energy	CONSOL Energy Inc.		CNX
53.1	-14.2	180.06	9045	418	55	1.5	Utilities	Consolidated Edison Inc.		ED
607.5	-8.7	89.21	1332	705	607.2	-9.1	Consumer products	Constellation Brands Inc.		STZ
94.8	-24.7	196.63	16262	1344	94.9	0	Information technology	Corning Inc.		GLW
389.1	27.3	467.09	12652	4301	392.5	0.4	Retailers	Costco Wholesale Corporation		COST
493.3	-32.2	65.03	4369	1821	479.4	0	Health care	Coventry Health Care Inc.		CVH
316.6	-21	316.98	10426	2858	315.3	-5.6	Health care	Covidien plc		COV
340.8	-22.6	82.51	3765	1051	324.5	-1.9	Health care	CR Bard Inc.		BCR
764.3	-19.5	209.74	-718	18	754.6	0	Telecom	Crown Castle International Corp.		CCI
141.9	1.2	244.66	14424	1998	159.3	0	Industrials	CSX Corp.		CSX
274.3	-33.3	214.08	9546	2306	284.3	13.1	Industrials	Cummins Inc.		CMI
440.3	3.7	694.89	33466	12818	440.4	-5.3	Retailers	CVS Caremark Corporation		CVS
153.5	6.6	420.76	12401	1951	178.4	-17.4	Industrials	Danaher Corp.		DHR
206.8	22.1	64.78	3387	605	208.2	-0.3	Consumer products	"Darden Restaurants, Inc."		DRI
290.1	-12.2	132.67	4748	1206	291.1	5	Health care	DaVita HealthCare Partners Inc.		DVA
757.2	-16.5	33.09	-907	365	758.5	-1.4	Consumer products	Dean Foods Company		DF
336.7	-52	336.89	19201	5378	324.7	11.8	Industrials	Deere & Company		DE
198.1	-68.9	248.32	20110	3496	200.2	-25.4	Information technology	Dell Inc.		DELL
102.3	9.2	133.97	13835	1265	107.1	-0.1	Consumer products	Delphi Automotive PLC		DLPH
62	25	67.1	3155	166	62.7	0.4	Energy	Denbury Resources Inc.		DNR
226.5	17.4	58.86	2019	414	237.5	0	Health care	DENTSPLY International Inc.		XRAY
702.3	12.1	221.03	2182	2764	698.3	-4.7	Energy	Devon Energy Corporation		DVN
305.9	59.3	95.8	8392	2219	304	0	Energy	"Diamond Offshore Drilling, Inc."		DO
286.7	-2.8	318.07	18633	4751	279.8	-19.3	Consumer products	DIRECTV		DTV
388.6	10	216.54	13837	4492	377.2	-7	Financials	Discover Financial Services		DFS
353.2	5.2	280.71	5829	1806	352.2	2.3	Consumer products	"Discovery Communications, Inc."		DISC.A
398.4	-0.1	164.79	3174	1043	383.6	19.3	Consumer products	Dollar General Corporation		DG
424.5	-14.9	105.63	2899	1051	416.8	-2.7	Consumer products	"Dollar Tree, Inc."		DLTR
427.3	-51.8	346.41	16894	6147	418.2	0	Utilities	"Dominion Resources, Inc."		D
262.9	-63.1	127.41	5314	1251	271.8	-13.4	Industrials	Dover Corporation		DOV
736.2	-4.6	75.45	-3785	-736	742.2	-4.5	Consumer products	DR Horton Inc.		DHI
452.1	-27.5	95.21	4042	1577	446.7	-5.5	Consumer products	"Dr Pepper Snapple Group, Inc."		DPS
68.5	-24.6	120.25	5669	346	69.9	-2.8	Utilities	DTE Energy Company		DTE
37.5	-16.8	515.07	13084	432	37.2	-3.1	Utilities	Duke Energy Corporation		DUK
223.4	-34.1	33.52	2439	476	226	-8.4	Industrials	Dun & Bradstreet Corp.		DNB
735.5	1.1	28.9	-5238	-352	736.6	-9.7	Financials	E*TRADE Financial Corporation		ETFC
210.3	32.1	448.51	18474	3464	215.7	0	Materials	E. I. du Pont de Nemours and Company		DD
292.1	48.8	105.2	3335	815	280.3	7.1	Materials	Eastman Chemical Co.		EMN
183.8	-4.1	285.14	6338	1036	191.6	-15.9	Industrials	Eaton Corporation plc		ETN
213.5	-40.2	723.62	14906	2880	225.5	10.4	Information technology	eBay Inc.		EBAY
272.4	23.4	236.61	4329	1061	284.1	-1.7	Materials	Ecolab Inc.		ECL
128.4	-38.2	166.07	9301	1180	148.1	0	Utilities	Edison International		EIX
119.5	10.6	92.67	1562	171	125.8	0	Health care	Edwards Lifesciences Corp.		EW
737.9	-27.5	51.82	-2191	94	749	8.5	Information technology	Electronic Arts Inc.		EA
205.7	-2.6	621.41	25210	4894	219.4	-8.3	Pharma	Eli Lilly and Company		LLY
126.6	-3.5	485.86	14598	1681	132.8	1.3	Information technology	EMC Corporation		EMC
384	-57.1	404.29	18813	6070	372.5	1.8	Industrials	Emerson Electric Co.		EMR
205.9	54.7	136.77	6154	1079	203.7	4.6	Energy	Ensco plc		ESV
78.8	-19.2	121.09	9714	636	76.5	2.4	Utilities	Entergy Corporation		ETR
120.4	21.8	345.02	9848	1144	133.3	-5.6	Energy	"EOG Resources, Inc."		EOG
-4.6	9	104.27	2482	-125	-1.1	-3.3	Energy	EQT Corporation		EQT
424.7	-32.8	68.62	2359	845	411.4	14.1	Industrials	Equifax Inc.		EFX
-4.7	-0.1	188.8	193	0	-0.9	-1.5	Financials	Equity Residential		EQR
185.8	-60.7	303.12	22600	3809	193.8	0	Utilities	Exelon Corporation		EXC
743.7	17.3	85.21	-520	566	749.8	0	Retailers	Expedia Inc.		EXPE
428	-41.8	75.35	3105	1123	416.1	-11.4	Industrials	Expeditors International of Washington Inc.		EXPD
417.8	-24.3	469.59	9587	3353	404.3	-6.8	Health care	Express Scripts Holding Company		ESRX
424.5	33.9	3969.68	394595	146254	422.7	8.7	Energy	Exxon Mobil Corporation		XOM
349.7	-70.7	57.19	1408	428	346.5	-8.9	Information technology	"F5 Networks, Inc."		FFIV
376.9	1.9	68.78	3040	978	366.7	16.6	Consumer products	Family Dollar Stores Inc.		FDO
429.9	-20.9	149.18	2806	1057	433.6	2.3	Industrials	Fastenal Company		FAST
265.2	-40.3	301.82	13208	3076	265.7	6.3	Industrials	FedEx Corporation		FDX
500.5	-33.9	115.32	2867	1230	493.3	-1.9	Information technology	"Fidelity National Information Services, Inc."		FIS
411.2	5	141.7	4621	1624	404.5	0.1	Financials	Fifth Third Bancorp		FITB
761.2	12.2	25.08	-929	182	748.2	8.3	Financials	First Horizon National Corporation		FHN
146.7	-19.5	23.57	1975	273	152.4	11.1	Information technology	"First Solar, Inc."		FSLR
126.5	-27	185.69	9298	1162	147.5	-9.8	Utilities	FirstEnergy Corp.		FE
438.6	-33.6	114.36	4513	1677	427.3	7.6	Information technology	"Fiserv, Inc."		FISV
363.2	-51.6	37.09	1782	551	356.1	11.5	Information technology	"FLIR Systems, Inc."		FLIR
258.5	-34	77.71	3269	775	267.9	15.8	Industrials	Flowserve Corp.		FLS
352.3	-37.7	101.69	5233	1628	354	-7.4	Industrials	Fluor Corporation		FLR
103.7	19.2	78.54	2491	213	98.2	0	Materials	FMC Corp.		FMC
270.3	66.7	125.34	3112	732	269.6	0	Energy	"FMC Technologies, Inc."		FTI
35.9	13.1	502.16	7397	251	38.5	-1.5	Consumer products	Ford Motor Co.		F
212.2	7.7	99.83	6416	1186	212.2	2	Pharma	Forest Laboratories Inc.		FRX
309.8	-12.4	55.74	1936	529	310.8	-32.7	Consumer products	"Fossil, Inc."		FOSL
314	64.9	317.67	13374	3711	316.1	9.7	Financials	Franklin Resources Inc.		BEN
689.8	-3.9	307.91	21531	14211	689.9	1.6	Materials	Freeport-McMoRan Copper & Gold Inc.		FCX
124.7	6.8	40.7	1574	185	134.9	0	Telecom	Frontier Communications Corporation		FTR
309.6	72.8	35.66	3088	847	315	-4.9	Retailers	GameStop Corp.		GME
756.3	-11.1	48.01	-3076	1450	746	0.4	Consumer products	"Gannett Co., Inc."		GCI
125.8	13.6	66.03	4487	501	128.5	0	Consumer products	Garmin Ltd.		GRMN
371.8	-62	244.56	18213	5758	363.6	-7.3	Industrials	General Dynamics Corp.		GD
174.8	16.3	2397.76	109012	17511	184.4	5.2	Industrials	General Electric Company		GE
281.7	-17.1	313.95	12808	3171	287.3	-29.4	Consumer products	"General Mills, Inc."		GIS
444.1	-27.3	120.61	4901	1858	437.3	4	Consumer products	Genuine Parts Company		GPC
689.6	32.6	47.98	737	1191	689.9	0	Insurance	Genworth Financial Inc.		GNW
266.2	-16.4	719.32	19562	4659	273.9	0	Pharma	Gilead Sciences Inc.		GILD
674.9	-14	30.52	1340	1232	690	2.5	Consumer products	Goodyear Tire & Rubber Co.		GT
187.6	-37.9	2554.4	56416	9683	196.2	-3.4	Information technology	Google Inc.		GOOG
278.4	2.1	77.15	4129	988	272	-13.1	Consumer products	"H&R Block, Inc."		HRB
193.6	27	232.19	7523	1307	199.4	-0.1	Consumer products	H. J. Heinz Company		HNZ
332	75.5	357.59	19904	5670	329	7	Energy	Halliburton Company		HAL
378.6	-10.5	115.32	4837	1556	370.3	10	Consumer products	"Harley-Davidson, Inc."		HOG
696.6	-9.2	29.06	433	313	690.1	-2.4	Consumer products	"Harman International Industries, Incorporated"		HAR
402.2	-61.6	50.49	4295	1480	395.7	0.8	Information technology	Harris Corporation		HRS
219.1	34.3	55.68	2881	563	224.2	5.5	Consumer products	Hasbro Inc.		HAS
9.7	15.9	234.27	2139	14	7.5	5.1	Financials	"HCP, Inc."		HCP
16	7.3	183.43	729	7	11	-4.9	Financials	"Health Care REIT, Inc."		HCN
167.1	68.5	65.36	3999	597	172.6	5.8	Energy	"Helmerich & Payne, Inc."		HP
591.3	9.4	245.3	19554	10079	592.6	0	Energy	Hess Corporation		HES
198.3	-16.6	426.32	37088	6912	210.1	16.1	Information technology	Hewlett-Packard Company		HPQ
250.8	-42.8	575.54	14780	3222	251.9	1.6	Industrials	Honeywell International Inc.		HON
396.5	-8.4	106.74	3560	1195	391.7	2.2	Consumer products	Hormel Foods Corporation		HRL
190.7	10.4	50.57	1383	248	205.8	-0.4	Pharma	Hospira Inc.		HSP
85.8	5	128.41	554	43	90.4	-7.1	Financials	Host Hotels & Resorts Inc.		HST
680.8	-3.2	42.1	2140	1391	689.7	-6.4	Financials	"Hudson City Bancorp, Inc."		HCBK
459.2	-35.9	123.27	9779	3822	449.3	0	Health care	Humana Inc.		HUM
765	6.7	62	-2067	27	761.1	5.2	Financials	Huntington Bancshares Incorporated		HBAN
356.1	-46.5	279.46	14434	4495	356.7	2.2	Industrials	Illinois Tool Works Inc.		ITW
701.1	-14.9	162.7	1746	2158	689.8	-1.6	Industrials	Ingersoll-Rand Plc		IR
131.2	-13.1	46.61	1652	188	127.4	-0.3	Utilities	"Integrys Energy Group, Inc."		TEG
319.9	-74.5	1044.16	71255	19607	317.2	-6.5	Information technology	Intel Corporation		INTC
346.2	43	113.49	3485	1019	345.2	5.7	Financials	"IntercontinentalExchange, Inc."		ICE
164.1	-14.1	2332.89	111970	16861	175.5	21.9	Information technology	International Business Machines Corporation	I.B.M.	IBM
295.7	53.4	60.27	2068	512	287.4	6.5	Materials	International Flavors & Fragrances Inc.		IFF
423.4	-8.4	42.89	2671	961	416.1	4.1	Consumer products	International Game Technology		IGT
111.1	14.3	209.19	5316	560	121.4	0	Materials	International Paper Company		IP
345.5	-77.7	189.21	5042	1457	333.1	-3.9	Information technology	Intuit Inc.		INTU
250.9	-0.9	199.5	3144	704	258.9	1.8	Health care	"Intuitive Surgical, Inc."		ISRG
285.3	62.5	126.81	4860	1242	292.3	0.7	Financials	Invesco Ltd.		IVZ
437	-24.6	69.29	1779	681	440.9	-0.8	Industrials	Iron Mountain Inc.		IRM
393.2	36.3	34.88	5180	1731	388.9	9.9	Retailers	"J. C. Penney Company, Inc."		JCP
699.1	-26.1	36.7	484	426	695	-6.2	Information technology	Jabil Circuit Inc.		JBL
394.1	-54.5	70.36	3233	1106	391.1	-2.8	Industrials	Jacobs Engineering Group Inc.		JEC
744.8	-32.8	30.69	-1027	42	745.5	4.2	Information technology	JDS Uniphase Corporation		JDSU
230	-0.7	2268.68	89050	18449	238.9	6.4	Pharma	Johnson & Johnson		JNJ
369.3	-8.1	227.81	7501	2364	360.7	10	Consumer products	Johnson Controls Inc.		JCI
250.5	-33.1	60.36	4339	918	240.4	2.2	Industrials	"Joy Global, Inc."		JOY
328.7	50.4	1847.73	122170	35136	330.4	-5.2	Financials	JPMorgan Chase & Co.		JPM
204.4	-49.4	90.83	3193	618	215.3	2.5	Information technology	"Juniper Networks, Inc."		JNPR
336.1	10.6	233.01	9159	2554	319.4	1.2	Consumer products	Kellogg Company		K
699	0.1	90.56	1329	1988	693.6	-1.2	Financials	KeyCorp		KEY
261.4	5.8	384.68	15354	3472	262.8	2.6	Consumer products	Kimberly-Clark Corporation		KMB
54.4	12.2	93.95	1114	57	58.7	3.9	Financials	Kimco Realty Corporation		KIM
681.6	6.6	394.8	584	1664	686.9	-9.5	Energy	"Kinder Morgan, Inc."		KMI
264.6	-78.9	86.38	3010	705	269.4	-16.6	Information technology	KLA-Tencor Corporation		KLAC
397.8	8.5	106.61	10100	3456	399.4	-8.9	Retailers	Kohl's Corp.		KSS
399.4	33.3	135.13	5780	1978	395.6	11.9	Retailers	"L Brands, Inc."		LTD
275.7	-24.8	73.81	7568	1796	273.7	19.6	Industrials	L-3 Communications Holdings Inc.		LLL
402	-40.7	86.35	5199	1759	389.7	-5	Health care	Laboratory Corp. of America Holdings		LH
115.8	-4.4	66.97	2597	277	123	-3.8	Information technology	Lam Research Corporation		LRCX
730.3	1.4	40.53	-709	-264	738.1	2.1	Financials	Legg Mason Inc.		LM
358.3	12.5	47.45	1304	403	352.4	11.2	Consumer products	"Leggett & Platt, Incorporated"		LEG
729.2	-4.8	74.94	-3990	-1207	744.5	8.8	Consumer products	Lennar Corp.		LEN
56.2	4.7	101.67	1835	96	60.2	-3.7	Financials	Leucadia National Corporation		LUK
552.6	-1.7	111.68	1898	911	551.6	0	Health care	Life Technologies Corporation		LIFE
109.7	23.1	84.72	4223	387	105.3	0	Insurance	Lincoln National Corporation		LNC
264.9	-70.7	83.42	3198	767	274.5	12.3	Information technology	Linear Technology Corporation		LLTC
263.7	-52.6	304.35	24657	5769	264.3	-6.1	Industrials	Lockheed Martin Corporation		LMT
259.7	86.7	171.71	12038	2668	254.8	0	Insurance	Loews Corporation		L
437.7	-16.2	155.98	9469	3563	432	-3.1	Consumer products	"Lorillard, Inc."		LO
452.6	14.1	424.3	21974	8555	448.6	8.8	Retailers	Lowe's Companies Inc.		LOW
757.5	-31.4	35.47	-2933	133	754	-5.9	Information technology	LSI Corporation		LSI
354.3	21.5	338.33	4861	1423	337.2	-0.8	Materials	LyondellBasell Industries NV		LYB
297.8	60.4	130.14	6093	1586	300.8	-0.7	Financials	M&T Bank Corporation		MTB
693.5	6.6	172.21	1623	1860	690.1	-1.8	Retailers	"Macy's, Inc."		M
669	6	232.52	30679	17902	671	0	Energy	Marathon Oil Corporation		MRO
127	32.5	275.8	15976	1860	133.8	7	Energy	Marathon Petroleum Corporation		MPC
269.3	14	129.48	3169	776	277	12.9	Consumer products	"Marriott International, Inc."		MAR
413.5	57.4	205.32	5770	2037	406	0	Insurance	"Marsh & McLennan Companies, Inc."		MMC
762.5	-28.1	69.94	-624	652	750.1	-5.3	Industrials	Masco Corporation		MAS
357.3	-61.4	656.05	12941	3986	354.4	0.1	Information technology	Mastercard Incorporated		MA
223.1	28.5	148.05	4614	905	225.6	-2.1	Consumer products	"Mattel, Inc."		MAT
273	7.3	93.75	2664	612	259.7	-7.6	Consumer products	"McCormick & Company, Incorporated"		MKC
329	25.2	1017.83	39309	10627	321.1	18.8	Consumer products	McDonald's Corp.		MCD
133	8.3	249.05	9236	1114	137.4	-2	Health care	McKesson Corporation		MCK
362.4	-15.8	155.17	4064	1242	355.8	-15.2	Consumer products	Mead Johnson Nutrition Company		MJN
152.1	60.6	64.19	1680	247	168.9	0	Materials	MeadWestvaco Corporation		MWV
216.5	18.4	470.2	20448	4038	226.8	0	Health care	"Medtronic, Inc."		MDT
330	-34.4	1374.57	46439	12893	319.3	0	Pharma	Merck & Co. Inc.		MRK
211.2	75.3	399.13	20831	3759	208.2	6.8	Insurance	"MetLife, Inc."		MET
11.8	0.8	41.15	2166	20	10.6	0	Telecom	"MetroPCS Communications, Inc."		PCS
86.3	-15.7	69.74	2061	154	85.8	4	Information technology	Microchip Technology Inc.		MCHP
751.1	-31.8	95.95	-2581	204	747.5	-6	Information technology	Micron Technology Inc.		MU
245.3	-73.9	2394.77	139087	30100	251	-9.1	Information technology	Microsoft Corporation		MSFT
415.2	-53.8	46.04	1312	464	408.1	0.8	Information technology	Molex Incorporated		MOLX
97.3	15.6	91.7	3918	336	99	0.3	Consumer products	Molson Coors Brewing Company		TAP
612.3	2.1	537.67	14234	7576	612.5	1.4	Consumer products	"Mondelez International, Inc."		MDLZ
258.9	20.7	561.6	14024	3305	270.4	-0.1	Materials	Monsanto Company		MON
459.5	-28.1	86.1	2105	832	454	-3.9	Consumer products	Monster Beverage Corporation		MNST
382.8	17.4	118.03	5076	1653	377.5	5.4	Financials	Moody's Corp.		MCO
479.5	-3.5	426.28	16718	6803	471.8	8.2	Financials	Morgan Stanley		MS
685.8	-20.9	172.02	1877	1499	689.1	5.6	Information technology	"Motorola Solutions, Inc."		MSI
400.7	41.8	121.45	9684	3271	388.7	0	Energy	Murphy Oil Corporation		MUR
683.7	-12.3	112.22	854	1276	689.8	4.4	Pharma	"Mylan, Inc."		MYL
381.1	63.1	45.95	2885	920	364	-0.8	Energy	Nabors Industries Ltd.		NBR
425.6	7.2	289.39	16022	5961	429.4	-17.1	Energy	"National Oilwell Varco, Inc."		NOV
70.8	-16.5	122.29	2704	177	75.1	0	Information technology	"NetApp, Inc."		NTAP
290.2	56.1	91.3	1092	279	293.9	0	Retailers	"Netflix, Inc."		NFLX
271.4	0.2	72.34	2077	481	269.4	10.6	Consumer products	Newell Rubbermaid Inc.		NWL
737.6	23.7	29.74	-445	459	750.3	5.5	Energy	Newfield Exploration Co.		NFX
513	20.5	193.78	12721	5532	500.1	0	Materials	Newmont Mining Corporation		NEM
480.8	-30.9	730.32	16800	6919	473.8	0.5	Consumer products	News Corp.		NWSA
3.6	-15.3	339.46	13255	61	4.4	-2.5	Utilities	"NextEra Energy, Inc."		NEE
